"","sex","ethnicity","weight","height","age"
"1054","F","European",66.4,1.76,33
"1055","F","European",53.4,1.59,47
"1058","F","European",94,1.77,45
"1060","F","European",95,1.69,41
"1065","F","European",62.8,1.58,32
"1073","F","European",71,1.58,26
"1074","F","European",66,1.65,35
"1081","F","European",69,1.68,32
"1091","F","European",82,1.63,36
"1101","F","European",68,1.57,41
"1109","F","European",65.5,1.68,42
"1115","F","European",73,1.71,48
"1130","F","European",104,1.66,41
"1138","F","European",71.5,1.68,44
"1140","F","European",60,1.68,35
"1142","F","European",65.6,1.81,31
"1158","F","European",72.6,1.6,22
"1163","F","European",61.8,1.67,33
"1170","F","European",54,1.59,48
"1175","F","European",61,1.68,31
"1186","F","European",84,1.63,29
"1194","F","European",73.5,1.67,22
"1196","F","European",71.4,1.63,26
"1198","F","European",70,1.67,36
"1201","F","European",58,1.7,44
"1202","F","European",59,1.58,29
"1206","F","European",54,1.6,46
"1209","F","European",64.6,1.72,30
"1211","F","European",81,1.63,44
"1214","F","European",47.8,1.56,38
"1216","F","European",61.4,1.61,54
"1221","F","European",62,1.72,35
"1231","F","European",72,1.68,50
"1232","F","European",66.5,1.74,26
"1243","F","European",59.8,1.52,33
"1245","F","European",78,1.67,41
"1251","F","European",85.4,1.69,54
"1256","F","European",52,1.64,46
"1258","F","European",55.8,1.71,22
"1265","F","European",56,1.6,23
"1267","F","European",65,1.67,21
"1273","F","European",51.8,1.57,26
"1274","F","European",89,1.65,44
"1276","F","European",63.4,1.62,46
"1277","F","European",65,1.63,38
"1283","F","European",49,1.59,22
"1291","F","European",68.2,1.6,27
"1314","F","European",60,1.62,37
"1327","F","European",63,1.66,47
"1328","F","European",75.2,1.64,54
"1333","F","European",54,1.53,57
"1336","F","European",79,1.8,22
"1343","F","European",117,1.65,31
"1349","F","European",55.5,1.6,27
"1350","F","European",65.2,1.75,45
"1359","F","European",61.4,1.69,31
"1362","F","European",53,1.6,41
"1377","F","European",54.4,1.73,29
"1380","F","European",51,1.65,26
"1383","F","European",67.5,1.69,23
"1391","F","European",67,1.56,47
"1400","F","European",78.8,1.69,31
"1404","F","European",63,1.73,28
"1409","F","European",59.4,1.68,17
"1417","F","European",59.8,1.68,29
"1418","F","European",80.4,1.75,39
"1419","F","European",51,1.5,40
"1425","F","European",51.4,1.58,30
"1429","F","European",58.6,1.71,27
"1432","F","European",60,1.7,45
"1438","F","European",52,1.6,25
"1448","F","European",82,1.65,52
"1453","F","European",74.1,1.56,48
"1456","F","European",59.2,1.55,51
"1460","F","European",59.4,1.69,27
"1469","F","European",63.4,1.66,27
"1472","F","European",66.5,1.73,33
"1473","F","European",79.8,1.71,46
"1479","F","European",95,1.72,50
"1483","F","European",76.6,1.63,34
"1484","F","European",60,1.64,23
"1489","F","European",58.6,1.68,24
"1494","F","European",85,1.72,25
"1498","F","European",60.6,1.7,32
"1512","F","European",55,1.63,49
"1517","F","European",67,1.65,48
"1519","F","European",57.2,1.65,34
"1522","F","European",77.8,1.65,21
"1526","F","European",57,1.68,37
"1530","F","European",56,1.56,33
"1531","F","European",70,1.68,44
"1532","F","European",51.2,1.56,25
"1533","F","European",66.6,1.7,30
"1543","F","European",83,1.67,48
"1551","F","European",80,1.7,43
"1554","F","European",53,1.54,20
"1556","F","European",61,1.65,30
"1562","F","European",81,1.65,42
"1567","F","European",61.5,1.64,41
"1570","F","European",71.2,1.71,48
"1574","F","European",55.2,1.63,38
"1578","F","European",68,1.65,24
"1592","F","European",55.2,1.57,29
"1606","F","European",57,1.63,47
"1613","F","European",62,1.67,45
"1616","F","European",81,1.66,39
"1623","F","European",72.8,1.72,29
"1652","F","European",116.6,1.67,37
"1657","F","European",52,1.52,25
"1664","F","European",56.5,1.55,33
"1682","F","European",113,1.77,32
"1687","F","European",57,1.67,31
"1688","F","European",67.8,1.68,44
"1697","F","European",54,1.65,29
"1700","F","European",82.4,1.69,49
"1704","F","European",65,1.72,30
"1716","F","European",51.2,1.6,30
"1720","F","European",49.4,1.67,36
"1722","F","European",63.8,1.64,40
"1724","F","European",82,1.69,38
"1725","F","European",50.4,1.59,31
"1728","F","European",67.4,1.67,38
"1731","F","European",66.6,1.66,45
"1735","F","European",59.2,1.67,30
"1741","F","European",55,1.6,38
"1743","F","European",72,1.72,41
"1746","F","European",75,1.73,23
"1756","F","European",53,1.66,59
"1761","F","European",65.2,1.64,25
"1762","F","European",68.5,1.61,47
"1767","F","European",84.6,1.71,46
"1769","F","European",73.4,1.64,43
"1771","F","European",76.8,1.77,36
"1779","F","European",52,1.69,36
"1781","F","European",56,1.55,53
"1791","F","European",60,1.56,38
"1798","F","European",62.6,1.76,42
"1806","F","European",64.5,1.59,44
"1811","F","European",60,1.75,26
"1812","F","European",70,1.65,27
"1819","F","European",58.8,1.63,50
"1822","F","European",75.6,1.59,49
"1827","F","European",67.4,1.63,50
"1832","F","European",57.8,1.64,32
"1833","F","European",79,1.64,56
"1843","F","European",61,1.6,50
"1845","F","European",53,1.59,32
"1855","F","European",67,1.66,41
"1858","F","European",66,1.65,22
"1867","F","European",64,1.63,44
"1870","F","European",55.5,1.56,58
"1876","F","European",68,1.6,58
"1879","F","European",69,1.64,22
"1880","F","European",62,1.64,20
"1881","F","European",66.4,1.66,49
"1888","F","European",52.8,1.56,45
"1889","F","European",88,1.67,41
"1893","F","European",56,1.58,34
"1894","F","European",60.2,1.69,30
"1919","F","European",72.6,1.66,41
"1922","F","European",54.8,1.61,31
"1929","F","European",81,1.62,55
"1932","F","European",52.4,1.6,39
"1943","F","European",59.4,1.69,26
"1944","F","European",72,1.64,41
"1946","F","European",59,1.7,28
"1969","F","European",75,1.6,46
"1977","F","European",64,1.63,17
"1994","F","European",67.3,1.64,43
"2000","F","European",59,1.6,43
"2001","F","European",57.6,1.65,49
"2004","F","European",72.8,1.63,49
"2013","F","European",79,1.53,24
"2014","F","European",69,1.69,19
"2017","F","European",78.6,1.66,23
"2021","F","European",72.4,1.69,23
"2022","F","European",79,1.58,46
"2029","F","European",46.5,1.59,61
"2033","F","European",65,1.7,24
"2043","F","European",63,1.71,39
"2049","F","European",79,1.65,28
"2059","F","European",70,1.62,57
"2062","F","European",81,1.7,24
"2063","F","European",53,1.65,36
"2067","F","European",83.2,1.73,30
"2072","F","European",54,1.53,37
"2075","F","European",89,1.74,22
"2093","F","European",76,1.64,30
"2101","F","European",55,1.7,25
"2108","F","European",53.2,1.64,33
"2114","F","European",54.8,1.59,36
"2115","F","European",115.4,1.58,49
"2121","F","European",96,1.71,50
"2123","F","European",66.2,1.6,44
"2137","F","European",75,1.61,20
"2142","F","European",100,1.68,47
"2148","F","European",62,1.76,40
"2155","F","European",83,1.69,36
"2156","F","European",73.8,1.63,47
"2159","F","European",72.4,1.63,25
"2160","F","European",48,1.67,21
"2162","F","European",70,1.61,26
"2175","F","European",85.4,1.74,46
"2184","F","European",50,1.67,31
"2187","F","European",65,1.62,34
"2194","F","European",69,1.67,27
"2197","F","European",75,1.68,31
"2210","F","European",84,1.7,32
"2225","F","European",78,1.65,49
"2226","F","European",79,1.56,57
"2251","F","European",58,1.64,33
"2253","F","European",62.4,1.69,52
"2254","F","European",67,1.69,31
"2258","F","European",71,1.57,29
"2267","F","European",65,1.62,22
"2270","F","European",69,1.73,25
"2276","F","European",68.8,1.67,55
"2279","F","European",61,1.72,24
"2282","F","European",53.5,1.61,27
"2290","F","European",64.4,1.63,53
"2298","F","European",93,1.72,50
"2305","F","European",50,1.52,37
"2311","F","European",60.2,1.61,27
"2315","F","European",68,1.78,33
"2316","F","European",65,1.64,29
"2334","F","European",82,1.74,54
"2337","F","European",68.2,1.77,24
"2340","F","European",65.6,1.75,33
"2341","F","European",71,1.68,44
"2346","F","European",62,1.65,23
"2350","F","European",63.6,1.66,29
"2353","F","European",55.6,1.7,20
"2358","F","European",76.5,1.62,46
"2360","F","European",72.1,1.65,37
"2370","F","European",102,1.69,40
"2371","F","European",69,1.6,25
"2373","F","European",59.6,1.71,20
"2375","F","European",58,1.69,28
"2382","F","European",60,1.64,21
"2383","F","European",65.6,1.57,44
"2386","F","European",71.8,1.71,22
"2392","F","European",71.8,1.68,30
"2400","F","European",56.4,1.6,38
"2407","F","European",57.8,1.71,31
"2413","F","European",70,1.64,44
"2415","F","European",71.6,1.61,52
"2418","F","European",72,1.64,24
"2422","F","European",52,1.55,24
"2427","F","European",65.5,1.54,53
"2428","F","European",53,1.57,27
"2438","F","European",73.8,1.75,22
"2443","F","European",57,1.66,33
"2448","F","European",61,1.66,29
"2451","F","European",67.8,1.69,40
"2452","F","European",58.8,1.69,30
"2463","F","European",60,1.65,49
"2473","F","European",63,1.61,53
"2485","F","European",61.4,1.54,29
"2493","F","European",62,1.7,30
"2495","F","European",69,1.64,46
"2502","F","European",63,1.63,32
"2504","F","European",54,1.56,35
"2505","F","European",57.4,1.65,38
"2514","F","European",56,1.71,26
"2519","F","European",72.4,1.69,33
"2528","F","European",66.8,1.6,28
"2529","F","European",67,1.63,39
"2535","F","European",56.6,1.66,23
"2537","F","European",86,1.74,26
"2543","F","European",64,1.75,28
"2549","F","European",67,1.64,44
"2555","F","European",65,1.76,22
"2565","F","European",67,1.68,56
"2571","F","European",86,1.67,42
"2578","F","European",61,1.67,37
"2588","F","European",54.8,1.59,45
"2593","F","European",62,1.64,46
"2603","F","European",59,1.63,33
"2609","F","European",86,1.68,32
"2620","F","European",75,1.64,40
"2625","F","European",59,1.65,33
"2631","F","European",70,1.77,24
"2644","F","European",51,1.47,56
"2647","F","European",73,1.77,28
"2651","F","European",88.4,1.54,42
"2654","F","European",54,1.55,45
"2669","F","European",83.6,1.72,21
"2671","F","European",57,1.72,44
"2676","F","European",65,1.67,35
"2682","F","European",78,1.62,54
"2684","F","European",67.2,1.63,39
"2686","F","European",69.6,1.66,37
"2690","F","European",73,1.73,37
"2692","F","European",52.2,1.62,20
"2697","F","European",62.8,1.63,35
"2704","F","European",47.2,1.58,37
"2706","F","European",88.4,1.64,49
"2709","F","European",51.8,1.63,34
"2711","F","European",71,1.8,46
"2728","F","European",58,1.54,25
"2729","F","European",58,1.6,48
"2732","F","European",61,1.63,45
"2733","F","European",62,1.64,47
"2739","F","European",67,1.61,60
"2740","F","European",84.2,1.56,33
"2747","F","European",60.8,1.74,26
"2753","F","European",90,1.67,23
"2781","F","European",65,1.66,34
"2796","F","European",55,1.65,27
"2797","F","European",64,1.67,33
"2799","F","European",77.5,1.7,50
"2802","F","European",79,1.66,39
"2812","F","European",65,1.73,23
"2814","F","European",63.4,1.61,26
"2826","F","European",58.2,1.64,22
"2827","F","European",59.4,1.63,35
"2833","F","European",72,1.78,34
"2851","F","European",58,1.78,20
"2860","F","European",72.2,1.75,34
"2866","F","European",63,1.66,31
"2870","F","European",80.2,1.6,60
"2875","F","European",61,1.63,30
"2883","F","European",63.5,1.66,25
"2886","F","European",56,1.6,36
"2908","F","European",58.6,1.65,27
"2916","F","European",68.6,1.73,25
"2918","F","European",80,1.63,52
"2926","F","European",61,1.63,35
"2935","F","European",61,1.58,28
"2943","F","European",61,1.62,29
"2947","F","European",52,1.61,26
"2948","F","European",86.4,1.66,26
"2951","F","European",57.8,1.63,28
"2952","F","European",67.6,1.56,51
"2956","F","European",66.8,1.69,33
"2964","F","European",76.5,1.54,49
"3000","F","European",64,1.71,21
"3004","F","European",54.6,1.57,25
"3019","F","European",53,1.58,49
"3025","F","European",69,1.63,25
"3032","F","European",98,1.7,44
"3047","F","European",63.6,1.68,38
"3054","F","European",56,1.66,21
"3059","F","European",85,1.6,44
"3060","F","European",76,1.7,29
"3064","F","European",88,1.69,25
"3068","F","European",63,1.67,18
"3073","F","European",69,1.76,21
"3076","F","European",61,1.68,35
"3077","F","European",70,1.68,33
"3083","F","European",56.8,1.7,32
"3099","F","European",67,1.56,39
"3102","F","European",63,1.6,27
"3110","F","European",53,1.55,41
"3118","F","European",74,1.58,51
"3130","F","European",56.8,1.53,52
"3143","F","European",83,1.69,51
"3147","F","European",69,1.72,26
"3151","F","European",71.8,1.76,47
"3156","F","European",74,1.61,50
"3158","F","European",77.6,1.55,54
"3159","F","European",65.8,1.71,59
"3161","F","European",57.2,1.66,26
"3191","F","European",65.4,1.68,42
"3194","F","European",92.4,1.63,24
"3197","F","European",85,1.58,47
"3198","F","European",52,1.65,53
"3199","F","European",71.4,1.65,43
"3201","F","European",80.4,1.52,37
"3204","F","European",81,1.67,50
"3215","F","European",81,1.72,43
"3238","F","European",62,1.7,51
"3239","F","European",47,1.5,30
"3242","F","European",52,1.74,40
"3243","F","European",55,1.7,23
"3247","F","European",69.6,1.65,40
"3248","F","European",90.8,1.66,34
"3249","F","European",59,1.61,48
"3254","F","European",57.4,1.68,28
"3256","F","European",72,1.63,51
"3260","F","European",73.2,1.68,31
"3270","F","European",55,1.62,26
"3272","F","European",73,1.79,36
"3282","F","European",73,1.64,41
"3285","F","European",52.5,1.67,26
"3295","F","European",64,1.6,51
"3298","F","European",59.2,1.56,44
"3310","F","European",58.6,1.64,37
"3321","F","European",65.6,1.67,43
"3323","F","European",48.2,1.53,32
"3345","F","European",100,1.72,37
"3347","F","European",56,1.6,39
"3354","F","European",78.6,1.72,42
"3371","F","European",62,1.57,58
"3374","F","European",55.6,1.63,27
"3375","F","European",65,1.68,45
"3377","F","European",57,1.68,16
"3378","F","European",72,1.69,32
"3385","F","European",55.6,1.62,32
"3388","F","European",57.6,1.63,28
"3392","F","European",62,1.57,43
"3393","F","European",68,1.62,53
"3395","F","European",65.8,1.67,21
"3397","F","European",78,1.65,49
"3403","F","European",73,1.51,41
"3410","F","European",59,1.57,46
"3420","F","European",65.5,1.68,21
"3423","F","European",94,1.73,48
"3424","F","European",69.6,1.66,29
"3425","F","European",65,1.65,25
"3427","F","European",71,1.68,21
"3445","F","European",53,1.55,30
"3448","F","European",68,1.69,41
"3451","F","European",61,1.55,50
"3453","F","European",82.6,1.66,49
"3454","F","European",57,1.69,24
"3468","F","European",76.8,1.64,43
"3473","F","European",64.2,1.7,27
"3474","F","European",88.2,1.72,28
"3482","F","European",54.6,1.7,28
"3483","F","European",65,1.62,24
"3487","F","European",51.4,1.61,52
"3496","F","European",86.6,1.66,38
"3498","F","European",59.5,1.68,22
"3510","F","European",67,1.72,43
"3511","F","European",61,1.63,31
"3512","F","European",85,1.52,51
"3517","F","European",105,1.68,40
"3518","F","European",54,1.62,29
"3519","F","European",60,1.6,44
"3520","F","European",84.5,1.72,44
"3536","F","European",59,1.6,48
"3541","F","European",49,1.57,31
"3548","F","European",68.2,1.69,42
"3550","F","European",65.2,1.63,47
"3559","F","European",55.8,1.62,23
"3561","F","European",59,1.67,41
"3569","F","European",65,1.57,42
"3570","F","European",59.2,1.68,39
"3575","F","European",52,1.66,51
"3579","F","European",81.3,1.65,51
"3585","F","European",66.5,1.63,40
"3606","F","European",77.6,1.56,50
"3609","F","European",94.6,1.66,28
"3610","F","European",64,1.64,30
"3629","F","European",76.2,1.67,36
"3636","F","European",69,1.73,21
"3637","F","European",61.4,1.69,46
"3646","F","European",71,1.64,45
"3650","F","European",71.6,1.7,33
"3654","F","European",64,1.68,41
"3658","F","European",65,1.69,23
"3664","F","European",59.4,1.64,26
"3665","F","European",46.6,1.56,49
"3669","F","European",61.2,1.66,33
"3672","F","European",61.6,1.67,49
"3673","F","European",60,1.63,48
"3676","F","European",68.6,1.64,53
"3696","F","European",77,1.71,23
"3708","F","European",65.4,1.67,32
"3713","F","European",75.5,1.65,39
"3714","F","European",70.8,1.64,36
"3716","F","European",72.4,1.66,26
"3728","F","European",69,1.65,54
"3751","F","European",59.4,1.6,30
"3763","F","European",59.4,1.73,39
"3771","F","European",70.2,1.69,31
"3779","F","European",67,1.58,51
"3785","F","European",62.6,1.63,40
"3786","F","European",64,1.64,22
"3789","F","European",67,1.6,25
"3791","F","European",70.8,1.59,31
"3795","F","European",54.8,1.63,31
"3812","F","European",71,1.66,25
"3815","F","European",55.8,1.55,40
"3827","F","European",60,1.54,54
"3833","F","European",70.1,1.57,53
"3839","F","European",57.5,1.65,36
"3842","F","European",87,1.63,84
"3843","F","European",60.2,1.57,39
"3848","F","European",66.4,1.79,33
"3855","F","European",58.6,1.57,47
"3857","F","European",56.4,1.61,27
"3865","F","European",60,1.55,46
"3866","F","European",54,1.64,28
"3871","F","European",54.8,1.64,54
"3878","F","European",60.8,1.81,25
"3884","F","European",71.2,1.68,39
"3887","F","European",60.2,1.56,41
"3891","F","European",58,1.56,34
"3892","F","European",53.4,1.6,43
"3909","F","European",65.4,1.73,38
"3913","F","European",78.6,1.65,41
"3926","F","European",60.4,1.72,24
"3934","F","European",51,1.61,24
"3941","F","European",57.5,1.58,24
"3948","F","European",51.4,1.58,30
"3953","F","European",81,1.76,49
"3969","F","European",95.4,1.72,29
"3980","F","European",65,1.72,18
"3983","F","European",60,1.63,18
"3985","F","European",95,1.68,51
"3986","F","European",62,1.67,34
"3989","F","European",102.6,1.68,47
"4003","F","European",73.2,1.64,30
"4004","F","European",69,1.62,61
"4011","F","European",68.5,1.58,43
"4026","F","European",74,1.66,38
"4028","F","European",72,1.69,27
"4030","F","European",75,1.7,20
"4055","F","European",55,1.65,23
"4062","F","European",95.2,1.71,31
"4068","F","European",67,1.75,22
"4069","F","European",54,1.64,30
"4070","F","European",63.5,1.59,56
"4073","F","European",82,1.68,24
"4078","F","European",72,1.67,40
"4084","F","European",55,1.68,33
"4098","F","European",54.8,1.6,42
"4113","F","European",65.2,1.68,36
"4118","F","European",59.2,1.58,23
"4120","F","European",61.8,1.68,45
"4123","F","European",67.4,1.65,47
"4126","F","European",55,1.59,25
"4127","F","European",62.4,1.58,18
"4129","F","European",58,1.67,23
"4133","F","European",64,1.65,44
"4134","F","European",69.2,1.75,48
"4136","F","European",69,1.57,28
"4157","F","European",52.2,1.63,51
"4163","F","European",60,1.67,59
"4165","F","European",74.4,1.71,33
"4169","F","European",58.4,1.6,60
"4175","F","European",63,1.65,50
"4185","F","European",60.4,1.6,20
"4186","F","European",54,1.65,26
"4198","F","European",62.5,1.64,19
"4216","F","European",52.8,1.72,23
"4218","F","European",51,1.64,26
"4223","F","European",57.5,1.52,26
"4226","F","European",60,1.65,22
"4229","F","European",113,1.65,31
"4230","F","European",70,1.7,26
"4233","F","European",66.2,1.66,29
"4235","F","European",90.2,1.7,28
"4237","F","European",91.5,1.73,25
"4238","F","European",79,1.66,44
"4249","F","European",79,1.7,27
"4250","F","European",64.8,1.7,19
"4252","F","European",66.8,1.67,27
"4254","F","European",52,1.68,23
"4255","F","European",59.8,1.7,25
"4258","F","European",66.8,1.61,20
"4269","F","European",75,1.57,32
"4276","F","European",79,1.65,53
"4294","F","European",73,1.72,44
"4303","F","European",68,1.61,48
"4304","F","European",72.4,1.66,24
"4306","F","European",57.8,1.6,59
"4307","F","European",65.4,1.67,44
"4319","F","European",65,1.63,29
"4323","F","European",64,1.75,23
"4325","F","European",59.6,1.67,25
"4327","F","European",85,1.63,36
"4332","F","European",71,1.62,55
"4333","F","European",84,1.66,34
"4339","F","European",70.4,1.62,44
"4342","F","European",49,1.62,47
"4348","F","European",72,1.78,19
"4354","F","European",56.6,1.62,51
"4358","F","European",64.2,1.62,50
"4365","F","European",46.8,1.53,46
"4367","F","European",57.5,1.61,34
"4372","F","European",63.8,1.7,30
"4374","F","European",57,1.65,25
"4382","F","European",63,1.54,44
"4392","F","European",65.2,1.7,56
"4410","F","European",55,1.63,45
"4416","F","European",68,1.65,41
"4417","F","European",53.4,1.65,28
"4421","F","European",54.4,1.59,48
"4423","F","European",73,1.74,54
"4425","F","European",80,1.67,30
"4430","F","European",66.8,1.64,25
"4431","F","European",90,1.72,49
"4432","F","European",92,1.6,46
"4433","F","European",85.5,1.79,58
"4442","F","European",82,1.6,20
"4447","F","European",67,1.69,25
"4449","F","European",51,1.56,55
"4458","F","European",73.2,1.7,34
"4460","F","European",48,1.55,23
"4470","F","European",60,1.73,24
"4472","F","European",65.2,1.63,20
"4477","F","European",56,1.63,23
"4487","F","European",53.4,1.69,29
"4495","F","European",54,1.57,51
"4504","F","European",68.5,1.72,40
"4505","F","European",64.4,1.7,25
"4508","F","European",78,1.73,42
"4512","F","European",82,1.57,33
"4519","F","European",71,1.72,26
"4528","F","European",82,1.64,31
"4539","F","European",58,1.61,18
"4545","F","European",81,1.76,32
"4553","F","European",58.4,1.53,24
"4566","F","European",57,1.62,20
"4574","F","European",58.4,1.65,43
"4582","F","European",62,1.68,44
"4588","F","European",61,1.71,38
"4595","F","European",67.8,1.78,33
"4603","F","European",48,1.6,26
"4615","F","European",50.8,1.64,32
"4618","F","European",66,1.63,39
"4626","F","European",64,1.65,29
"4629","F","European",65.5,1.61,52
"4650","F","European",66,1.72,35
"4653","F","European",56.6,1.57,34
"4657","F","European",51,1.53,26
"4670","F","European",56.2,1.72,36
"4677","F","European",71.4,1.71,27
"4687","F","European",56.8,1.74,30
"4692","F","European",59.2,1.53,34
"4696","F","European",82,1.63,35
"4697","F","European",102.8,1.56,57
"4700","F","European",64.6,1.69,52
"4704","F","European",63.2,1.7,24
"4713","F","European",64.6,1.65,43
"4720","F","European",73,1.52,56
"4729","F","European",64,1.57,59
"4731","F","European",63,1.55,54
"4756","F","European",60,1.64,39
"4759","F","European",78,1.65,35
"4760","F","European",58.6,1.6,26
"4763","F","European",68.6,1.69,51
"4774","F","European",67,1.73,29
